Country,Region,Area (sq. mi.),Coastline (coast/area ratio),Population,Net migration,Birthrate,Deathrate,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Agriculture,Industry,Service,Climate,Arable (%),Crops (%),Other (%)
Afghanistan ,ASIA (EX. NEAR EAST)         ,647500,0.0,31056997,23.06,46.6,20.34,163.07,700.0,36.0,3.2,0.38,0.24,0.38,1.0,12.13,0.22,87.65
Albania ,EASTERN EUROPE                     ,28748,1.26,3581655,-4.93,15.11,5.22,21.52,4500.0,86.5,71.2,0.232,0.188,0.579,3.0,21.09,4.42,74.49
Algeria ,NORTHERN AFRICA                    ,2381740,0.04,32930091,-0.39,17.14,4.61,31.0,6000.0,70.0,78.1,0.101,0.6,0.298,1.0,3.22,0.25,96.53
American Samoa ,OCEANIA                            ,199,58.29,57794,-20.71,22.46,3.27,9.27,8000.0,97.0,259.5,,,,2.0,10.0,15.0,75.0
Andorra ,WESTERN EUROPE                     ,468,0.0,71201,6.6,8.71,6.25,4.05,19000.0,100.0,497.2,,,,3.0,2.22,0.0,97.78
Angola ,SUB-SAHARAN AFRICA                 ,1246700,0.13,12127071,0.0,45.11,24.2,191.19,1900.0,42.0,7.8,0.096,0.658,0.246,,2.41,0.24,97.35
Anguilla ,LATIN AMER. & CARIB    ,102,59.8,13477,10.76,14.17,5.34,21.03,8600.0,95.0,460.0,0.04,0.18,0.78,2.0,0.0,0.0,100.0
Antigua & Barbuda ,LATIN AMER. & CARIB    ,443,34.54,69108,-6.15,16.93,5.37,19.46,11000.0,89.0,549.9,0.038,0.22,0.743,2.0,18.18,4.55,77.27
Argentina ,LATIN AMER. & CARIB    ,2766890,0.18,39921833,0.61,16.73,7.55,15.18,11200.0,97.1,220.4,0.095,0.358,0.547,3.0,12.31,0.48,87.21
Armenia ,C.W. OF IND. STATES ,29800,0.0,2976372,-6.47,12.07,8.23,23.28,3500.0,98.6,195.7,0.239,0.343,0.418,4.0,17.55,2.3,80.15
Aruba ,LATIN AMER. & CARIB    ,193,35.49,71891,0.0,11.03,6.68,5.89,28000.0,97.0,516.1,0.004,0.333,0.663,2.0,10.53,0.0,89.47
Australia ,OCEANIA                            ,7686850,0.34,20264082,3.98,12.14,7.51,4.69,29000.0,100.0,565.5,0.038,0.262,0.7,1.0,6.55,0.04,93.41
Austria ,WESTERN EUROPE                     ,83870,0.0,8192880,2.0,8.74,9.76,4.66,30000.0,98.0,452.2,0.018,0.304,0.678,3.0,16.91,0.86,82.23
Azerbaijan ,C.W. OF IND. STATES ,86600,0.0,7961619,-4.9,20.74,9.75,81.74,3400.0,97.0,137.1,0.141,0.457,0.402,1.0,19.63,2.71,77.66
"Bahamas, The ",LATIN AMER. & CARIB    ,13940,25.41,303770,-2.2,17.57,9.05,25.21,16700.0,95.6,460.6,0.03,0.07,0.9,2.0,0.8,0.4,98.8
Bahrain ,NEAR EAST                          ,665,24.21,698585,1.05,17.8,4.14,17.27,16900.0,89.1,281.3,0.005,0.387,0.608,1.0,2.82,5.63,91.55
Bangladesh ,ASIA (EX. NEAR EAST)         ,144000,0.4,147365352,-0.71,29.8,8.27,62.6,1900.0,43.1,7.3,0.199,0.198,0.603,2.0,62.11,3.07,34.82
Barbados ,LATIN AMER. & CARIB    ,431,22.51,279912,-0.31,12.71,8.67,12.5,15700.0,97.4,481.9,0.06,0.16,0.78,2.0,37.21,2.33,60.46
Belarus ,C.W. OF IND. STATES ,207600,0.0,10293011,2.54,11.16,14.02,13.37,6100.0,99.6,319.1,0.093,0.316,0.591,4.0,29.55,0.6,69.85
Belgium ,WESTERN EUROPE                     ,30528,0.22,10379067,1.23,10.38,10.27,4.68,29100.0,98.0,462.6,0.01,0.24,0.749,3.0,23.28,0.4,76.32
Belize ,LATIN AMER. & CARIB    ,22966,1.68,287730,0.0,28.84,5.72,25.69,4900.0,94.1,115.7,0.142,0.152,0.612,2.0,2.85,1.71,95.44
Benin ,SUB-SAHARAN AFRICA                 ,112620,0.11,7862944,0.0,38.85,12.22,85.0,1100.0,40.9,9.7,0.316,0.138,0.546,2.0,18.08,2.4,79.52
Bermuda ,NORTHERN AMERICA                   ,53,194.34,65773,2.49,11.4,7.74,8.53,36000.0,98.0,851.4,0.01,0.1,0.89,2.0,20.0,0.0,80.0
Bhutan ,ASIA (EX. NEAR EAST)         ,47000,0.0,2279723,0.0,33.65,12.7,100.44,1300.0,42.2,14.3,0.258,0.379,0.363,2.0,3.09,0.43,96.48
Bolivia ,LATIN AMER. & CARIB    ,1098580,0.0,8989046,-1.32,23.3,7.53,53.11,2400.0,87.2,71.9,0.128,0.352,0.52,1.5,2.67,0.19,97.14
Bosnia & Herzegovina ,EASTERN EUROPE                     ,51129,0.04,4498976,0.31,8.77,8.27,21.05,6100.0,82.8,215.4,0.142,0.308,0.55,4.0,13.6,2.96,83.44
Botswana ,SUB-SAHARAN AFRICA                 ,600370,0.0,1639833,0.0,23.08,29.5,54.58,9000.0,79.8,80.5,0.024,0.469,0.507,1.0,0.65,0.01,99.34
Brazil ,LATIN AMER. & CARIB    ,8511965,0.09,188078227,-0.03,16.56,6.17,29.61,7600.0,86.4,225.3,0.084,0.4,0.516,2.0,6.96,0.9,92.15
British Virgin Is. ,LATIN AMER. & CARIB    ,153,52.29,23098,10.01,14.89,4.42,18.05,16000.0,97.8,506.5,0.018,0.062,0.92,2.0,20.0,6.67,73.33
Brunei ,ASIA (EX. NEAR EAST)         ,5770,2.79,379444,3.59,18.79,3.45,12.61,18600.0,93.9,237.2,0.036,0.561,0.403,2.0,0.57,0.76,98.67
Bulgaria ,EASTERN EUROPE                     ,110910,0.32,7385367,-4.58,9.65,14.27,20.55,7600.0,98.6,336.3,0.093,0.304,0.603,3.0,40.02,1.92,58.06
Burkina Faso ,SUB-SAHARAN AFRICA                 ,274200,0.0,13902972,0.0,45.62,15.6,97.57,1100.0,26.6,7.0,0.322,0.196,0.482,2.0,14.43,0.19,85.38
Burma ,ASIA (EX. NEAR EAST)         ,678500,0.28,47382633,-1.8,17.91,9.83,67.24,1800.0,85.3,10.1,0.564,0.082,0.353,2.0,15.19,0.97,83.84
Burundi ,SUB-SAHARAN AFRICA                 ,27830,0.0,8090068,-0.06,42.22,13.46,69.29,600.0,51.6,3.4,0.463,0.203,0.334,2.0,35.05,14.02,50.93
Cambodia ,ASIA (EX. NEAR EAST)         ,181040,0.24,13881427,0.0,26.9,9.06,71.48,1900.0,69.4,2.6,0.35,0.3,0.35,2.0,20.96,0.61,78.43
Cameroon ,SUB-SAHARAN AFRICA                 ,475440,0.08,17340702,0.0,33.89,13.47,68.26,1800.0,79.0,5.7,0.448,0.17,0.382,1.5,12.81,2.58,84.61
Canada ,NORTHERN AMERICA                   ,9984670,2.02,33098932,5.96,10.78,7.8,4.75,29800.0,97.0,552.2,0.022,0.294,0.684,,4.96,0.02,95.02
Cape Verde ,SUB-SAHARAN AFRICA                 ,4033,23.93,420979,-12.07,24.87,6.55,47.77,1400.0,76.6,169.6,0.121,0.219,0.66,3.0,9.68,0.5,89.82
Cayman Islands ,LATIN AMER. & CARIB    ,262,61.07,45436,18.75,12.74,4.89,8.19,35000.0,98.0,836.3,0.014,0.032,0.954,2.0,3.85,0.0,96.15
Central African Rep. ,SUB-SAHARAN AFRICA                 ,622984,0.0,4303356,0.0,33.91,18.65,91.0,1100.0,51.0,2.3,0.55,0.2,0.25,2.0,3.1,0.14,96.76
Chad ,SUB-SAHARAN AFRICA                 ,1284000,0.0,9944201,-0.11,45.73,16.38,93.82,1200.0,47.5,1.3,0.335,0.259,0.406,2.0,2.86,0.02,97.12
Chile ,LATIN AMER. & CARIB    ,756950,0.85,16134219,0.0,15.23,5.81,8.8,9900.0,96.2,213.0,0.06,0.493,0.447,3.0,2.65,0.42,96.93
China ,ASIA (EX. NEAR EAST)         ,9596960,0.15,1313973713,-0.4,13.25,6.97,24.18,5000.0,90.9,266.7,0.125,0.473,0.403,1.5,15.4,1.25,83.35
Colombia ,LATIN AMER. & CARIB    ,1138910,0.28,43593035,-0.31,20.48,5.58,20.97,6300.0,92.5,176.2,0.125,0.342,0.533,2.0,2.42,1.67,95.91
Comoros ,SUB-SAHARAN AFRICA                 ,2170,15.67,690948,0.0,36.93,8.2,74.93,700.0,56.5,24.5,0.4,0.04,0.56,2.0,35.87,23.32,40.81
"Congo, Dem. Rep. ",SUB-SAHARAN AFRICA                 ,2345410,0.0,62660551,0.0,43.69,13.27,94.69,700.0,65.5,0.2,0.55,0.11,0.34,2.0,2.96,0.52,96.52
"Congo, Repub. of the ",SUB-SAHARAN AFRICA                 ,342000,0.05,3702314,-0.17,42.57,12.93,93.86,700.0,83.8,3.7,0.062,0.57,0.369,2.0,0.51,0.13,99.36
Cook Islands ,OCEANIA                            ,240,50.0,21388,,21.0,,,5000.0,95.0,289.9,0.151,0.096,0.753,2.0,17.39,13.04,69.57
Costa Rica ,LATIN AMER. & CARIB    ,51100,2.52,4075261,0.51,18.32,4.36,9.95,9100.0,96.0,340.7,0.088,0.299,0.614,2.0,4.41,5.88,89.71
Cote d'Ivoire ,SUB-SAHARAN AFRICA                 ,322460,0.16,17654843,-0.07,35.11,14.84,90.83,1400.0,50.9,14.6,0.279,0.171,0.55,2.0,9.75,13.84,76.41
Croatia ,EASTERN EUROPE                     ,56542,10.32,4494749,1.58,9.61,11.48,6.84,10600.0,98.5,420.4,0.07,0.308,0.622,,26.09,2.27,71.65
Cuba ,LATIN AMER. & CARIB    ,110860,3.37,11382820,-1.58,11.89,7.22,6.33,2900.0,97.0,74.7,0.055,0.261,0.684,2.0,33.05,7.6,59.35
Cyprus ,NEAR EAST                          ,9250,7.01,784301,0.43,12.56,7.68,7.18,19200.0,97.6,,0.037,0.198,0.765,3.0,7.79,4.44,87.77
Czech Republic ,EASTERN EUROPE                     ,78866,0.0,10235455,0.97,9.02,10.59,3.93,15700.0,99.9,314.3,0.034,0.393,0.573,3.0,39.8,3.05,57.15
Denmark ,WESTERN EUROPE                     ,43094,16.97,5450661,2.48,11.13,10.36,4.56,31100.0,100.0,614.6,0.018,0.246,0.735,3.0,54.02,0.19,45.79
Djibouti ,SUB-SAHARAN AFRICA                 ,23000,1.37,486530,0.0,39.53,19.31,104.13,1300.0,67.9,22.8,0.179,0.225,0.596,1.0,0.04,0.0,99.96
Dominica ,LATIN AMER. & CARIB    ,754,19.63,68910,-13.87,15.27,6.73,14.15,5400.0,94.0,304.8,0.177,0.328,0.495,2.0,6.67,20.0,73.33
Dominican Republic ,LATIN AMER. & CARIB    ,48730,2.64,9183984,-3.22,23.22,5.73,32.38,6000.0,84.7,97.4,0.112,0.306,0.582,2.0,22.65,10.33,67.02
East Timor ,ASIA (EX. NEAR EAST)         ,15007,4.7,1062777,0.0,26.99,6.24,47.41,500.0,58.6,,0.085,0.231,0.684,2.0,4.71,0.67,94.62
Ecuador ,LATIN AMER. & CARIB    ,283560,0.79,13547510,-8.58,22.29,4.23,23.66,3300.0,92.5,125.6,0.07,0.312,0.618,2.0,5.85,4.93,89.22
Egypt ,NORTHERN AFRICA                    ,1001450,0.24,78887007,-0.22,22.94,5.23,32.59,4000.0,57.7,131.8,0.149,0.357,0.493,1.0,2.87,0.48,96.65
El Salvador ,LATIN AMER. & CARIB    ,21040,1.46,6822378,-3.74,26.61,5.78,25.1,4800.0,80.2,142.4,0.099,0.302,0.599,2.0,31.85,12.07,56.08
Equatorial Guinea ,SUB-SAHARAN AFRICA                 ,28051,1.06,540109,0.0,35.59,15.06,85.13,2700.0,85.7,18.5,0.03,0.906,0.062,2.0,4.63,3.57,91.8
Eritrea ,SUB-SAHARAN AFRICA                 ,121320,1.84,4786994,0.0,34.33,9.6,74.87,700.0,58.6,7.9,0.102,0.254,0.643,1.5,4.95,0.03,95.02
Estonia ,BALTICS                            ,45226,8.39,1324333,-3.16,10.04,13.25,7.87,12300.0,99.8,333.8,0.04,0.294,0.666,3.0,16.04,0.45,83.51
Ethiopia ,SUB-SAHARAN AFRICA                 ,1127127,0.0,74777981,0.0,37.98,14.86,95.32,700.0,42.7,8.2,0.475,0.099,0.426,2.0,10.71,0.75,88.54
Faroe Islands ,WESTERN EUROPE                     ,1399,79.84,47246,1.41,14.05,8.7,6.24,22000.0,82.8,503.8,0.27,0.11,0.62,,2.14,0.0,97.86
Fiji ,OCEANIA                            ,18270,6.18,905949,-3.14,22.55,5.65,12.62,5800.0,93.7,112.6,0.089,0.135,0.776,2.0,10.95,4.65,84.4
Finland ,WESTERN EUROPE                     ,338145,0.37,5231372,0.95,10.45,9.86,3.57,27400.0,100.0,405.3,0.028,0.295,0.676,3.0,7.19,0.03,92.78
France ,WESTERN EUROPE                     ,547030,0.63,60876136,0.66,11.99,9.14,4.26,27600.0,99.0,586.4,0.022,0.214,0.764,4.0,33.53,2.07,64.4
French Guiana ,LATIN AMER. & CARIB    ,91000,0.42,199509,6.27,20.46,4.88,12.07,8300.0,83.0,255.6,0.066,0.156,0.778,2.0,0.14,0.05,99.81
French Polynesia ,OCEANIA                            ,4167,60.6,274578,2.94,16.68,4.69,8.44,17500.0,98.0,194.5,0.031,0.19,0.769,2.0,0.82,5.46,93.72
Gabon ,SUB-SAHARAN AFRICA                 ,267667,0.33,1424906,0.0,36.16,12.25,53.64,5500.0,63.2,27.4,0.061,0.592,0.348,2.0,1.26,0.66,98.08
"Gambia, The ",SUB-SAHARAN AFRICA                 ,11300,0.71,1641564,1.57,39.37,12.25,72.02,1700.0,40.1,26.8,0.308,0.142,0.549,2.0,25.0,0.5,74.5
Gaza Strip ,NEAR EAST                          ,360,11.11,1428757,1.6,39.45,3.8,22.93,600.0,82.8,244.3,0.03,0.283,0.687,3.0,28.95,21.05,50.0
Georgia ,C.W. OF IND. STATES ,69700,0.44,4661473,-4.7,10.41,9.23,18.59,2500.0,99.0,146.6,0.172,0.275,0.553,3.0,11.44,3.86,84.7
Germany ,WESTERN EUROPE                     ,357021,0.67,82422299,2.18,8.25,10.62,4.16,27600.0,99.0,667.9,0.009,0.296,0.695,3.0,33.85,0.59,65.56
Ghana ,SUB-SAHARAN AFRICA                 ,239460,0.23,22409572,-0.64,30.52,9.72,51.43,2200.0,74.8,14.4,0.366,0.246,0.387,2.0,16.26,9.67,74.07
Gibraltar ,WESTERN EUROPE                     ,7,171.43,27928,0.0,10.74,9.31,5.13,17500.0,82.8,877.7,,,,,0.0,0.0,100.0
Greece ,WESTERN EUROPE                     ,131940,10.37,10688058,2.35,9.68,10.24,5.53,20000.0,97.5,589.7,0.054,0.213,0.733,3.0,21.1,8.78,70.12
Greenland ,NORTHERN AMERICA                   ,2166086,2.04,56361,-8.37,15.93,7.84,15.82,20000.0,82.8,448.9,,,,1.0,0.0,0.0,100.0
Grenada ,LATIN AMER. & CARIB    ,344,35.17,89703,-13.92,22.08,6.88,14.62,5000.0,98.0,364.5,0.054,0.18,0.766,2.0,5.88,29.41,64.71
Guadeloupe ,LATIN AMER. & CARIB    ,1780,17.19,452776,-0.15,15.05,6.09,8.6,8000.0,90.0,463.8,0.15,0.17,0.68,2.0,11.24,3.55,85.21
Guam ,OCEANIA                            ,541,23.2,171019,0.0,18.79,4.48,6.94,21000.0,99.0,492.0,,,,2.0,9.09,16.36,74.55
Guatemala ,LATIN AMER. & CARIB    ,108890,0.37,12293545,-1.67,29.88,5.2,35.93,4100.0,70.6,92.1,0.227,0.188,0.585,2.0,12.54,5.03,82.43
Guernsey ,WESTERN EUROPE                     ,78,64.1,65409,3.84,8.81,10.01,4.71,20000.0,82.8,842.4,0.03,0.1,0.87,3.0,,,
