Country,Region,Area (sq. mi.),Coastline (coast/area ratio),Population,Net migration,Birthrate,Deathrate,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Agriculture,Industry,Service,Climate,Arable (%),Crops (%),Other (%)
Lithuania ,BALTICS                            ,65200,0.14,3585906,-0.71,8.75,10.98,6.89,11400.0,99.6,223.4,0.055,0.325,0.62,,45.22,0.91,53.87
Luxembourg ,WESTERN EUROPE                     ,2586,0.0,474413,8.97,11.94,8.41,4.81,55100.0,100.0,515.4,0.01,0.13,0.86,,23.28,0.4,76.32
Macau ,ASIA (EX. NEAR EAST)         ,28,146.43,453125,4.86,8.48,4.47,4.39,19400.0,94.5,384.9,0.001,0.072,0.927,2.0,0.0,0.0,100.0
Macedonia ,EASTERN EUROPE                     ,25333,0.0,2050554,-1.45,12.02,8.77,10.09,6700.0,82.8,260.0,0.118,0.319,0.563,3.0,22.26,1.81,75.93
Madagascar ,SUB-SAHARAN AFRICA                 ,587040,0.82,18595469,0.0,41.41,11.11,76.83,800.0,68.9,3.6,0.276,0.165,0.559,2.0,5.07,1.03,93.91
Malawi ,SUB-SAHARAN AFRICA                 ,118480,0.0,13013926,0.0,43.13,19.33,103.32,600.0,62.7,7.9,0.342,0.158,0.499,2.0,23.38,1.49,75.13
Malaysia ,ASIA (EX. NEAR EAST)         ,329750,1.42,24385858,0.0,22.86,5.05,17.7,9000.0,88.7,179.0,0.084,0.48,0.436,2.0,5.48,17.61,76.91
Maldives ,ASIA (EX. NEAR EAST)         ,300,214.67,359008,0.0,34.81,7.06,56.52,3900.0,97.2,90.0,0.2,0.18,0.62,2.0,13.33,16.67,70.0
Mali ,SUB-SAHARAN AFRICA                 ,1240000,0.0,11716829,-0.33,49.82,16.89,116.79,900.0,46.4,6.4,0.45,0.17,0.38,2.0,3.82,0.03,96.15
Malta ,WESTERN EUROPE                     ,316,62.28,400214,2.07,10.22,8.1,3.89,17700.0,92.8,505.0,0.03,0.23,0.74,,28.13,3.13,68.74
Marshall Islands ,OCEANIA                            ,11854,3.12,60422,-6.04,33.05,4.78,29.45,1600.0,93.7,91.2,0.317,0.149,0.534,2.0,16.67,38.89,44.44
Martinique ,LATIN AMER. & CARIB    ,1100,31.82,436131,-0.05,13.74,6.48,7.09,14400.0,97.7,394.4,0.06,0.11,0.83,2.0,10.38,9.43,80.19
Mauritania ,SUB-SAHARAN AFRICA                 ,1030700,0.07,3177388,0.0,40.99,12.16,70.89,1800.0,41.7,12.9,0.25,0.29,0.46,1.0,0.48,0.01,99.51
Mauritius ,SUB-SAHARAN AFRICA                 ,2040,8.68,1240827,-0.9,15.43,6.86,15.03,11400.0,85.6,289.3,0.059,0.298,0.643,2.0,49.26,2.96,47.78
Mayotte ,SUB-SAHARAN AFRICA                 ,374,49.52,201234,6.78,40.95,7.7,62.4,2600.0,82.8,49.7,,,,2.0,,,
Mexico ,LATIN AMER. & CARIB    ,1972550,0.47,107449525,-4.87,20.69,4.74,20.91,9000.0,92.2,181.6,0.038,0.259,0.702,1.5,12.99,1.31,85.7
"Micronesia, Fed. St. ",OCEANIA                            ,702,870.66,108004,-20.99,24.68,4.75,30.21,2000.0,89.0,114.8,0.289,0.152,0.559,2.0,5.71,45.71,48.58
Moldova ,C.W. OF IND. STATES ,33843,0.0,4466706,-0.26,15.7,12.64,40.42,1800.0,99.1,208.1,0.213,0.233,0.555,,55.3,10.79,33.91
Monaco ,WESTERN EUROPE                     ,2,205.0,32543,7.75,9.19,12.91,5.43,27000.0,99.0,1035.6,0.17,,,,0.0,0.0,100.0
Mongolia ,ASIA (EX. NEAR EAST)         ,1564116,0.0,2832224,0.0,21.59,6.95,53.79,1800.0,97.8,55.1,0.206,0.214,0.58,1.0,0.77,0.0,99.23
Montserrat ,LATIN AMER. & CARIB    ,102,39.22,9439,0.0,17.59,7.1,7.35,3400.0,97.0,,,,,2.0,20.0,0.0,80.0
Morocco ,NORTHERN AFRICA                    ,446550,0.41,33241259,-0.98,21.98,5.58,41.62,4000.0,51.7,40.4,0.217,0.357,0.426,,19.61,2.17,78.22
Mozambique ,SUB-SAHARAN AFRICA                 ,801590,0.31,19686505,0.0,35.18,21.35,130.79,1200.0,47.8,3.5,0.262,0.348,0.39,2.0,5.1,0.3,94.6
Namibia ,SUB-SAHARAN AFRICA                 ,825418,0.19,2044147,0.0,24.32,18.86,48.98,7200.0,84.0,62.6,0.097,0.315,0.588,1.0,0.99,0.0,99.01
Nauru ,OCEANIA                            ,21,142.86,13287,0.0,24.76,6.7,9.95,5000.0,82.8,143.0,,,,2.0,0.0,0.0,100.0
Nepal ,ASIA (EX. NEAR EAST)         ,147181,0.0,28287147,0.0,30.98,9.31,66.98,1400.0,45.2,15.9,0.38,0.21,0.41,,21.68,0.64,77.68
Netherlands ,WESTERN EUROPE                     ,41526,1.09,16491461,2.91,10.9,8.68,5.04,28600.0,99.0,460.8,0.021,0.244,0.736,3.0,26.71,0.97,72.32
Netherlands Antilles ,LATIN AMER. & CARIB    ,960,37.92,221736,-0.41,14.78,6.45,10.03,11400.0,96.7,365.3,0.01,0.15,0.84,2.0,10.0,0.0,90.0
New Caledonia ,OCEANIA                            ,19060,11.83,219246,0.0,18.11,5.69,7.72,15000.0,91.0,252.2,0.15,0.088,0.762,2.0,0.38,0.33,99.29
New Zealand ,OCEANIA                            ,268680,5.63,4076140,4.05,13.76,7.53,5.85,21600.0,99.0,441.7,0.043,0.273,0.684,3.0,5.6,6.99,87.41
Nicaragua ,LATIN AMER. & CARIB    ,129494,0.7,5570129,-1.22,24.51,4.45,29.11,2300.0,67.5,39.7,0.165,0.275,0.56,2.0,15.94,1.94,82.12
Niger ,SUB-SAHARAN AFRICA                 ,1267000,0.0,12525094,-0.67,50.73,20.91,121.69,800.0,17.6,1.9,0.39,0.17,0.44,1.0,3.54,0.01,96.45
Nigeria ,SUB-SAHARAN AFRICA                 ,923768,0.09,131859731,0.26,40.43,16.94,98.8,900.0,68.0,9.3,0.269,0.487,0.244,1.5,31.29,2.96,65.75
N. Mariana Islands ,OCEANIA                            ,477,310.69,82459,9.61,19.43,2.29,7.11,12500.0,97.0,254.7,,,,2.0,13.04,4.35,82.61
Norway ,WESTERN EUROPE                     ,323802,7.77,4610820,1.74,11.46,9.4,3.7,37800.0,100.0,461.7,0.021,0.415,0.564,3.0,2.87,0.0,97.13
Oman ,NEAR EAST                          ,212460,0.98,3102229,0.28,36.24,3.81,19.51,13100.0,75.8,85.5,0.027,0.39,0.583,1.0,0.0,0.14,99.74
Pakistan ,ASIA (EX. NEAR EAST)         ,803940,0.13,165803560,-2.77,29.74,8.23,72.44,2100.0,45.7,31.8,0.216,0.251,0.533,1.0,27.87,0.87,71.26
Palau ,OCEANIA                            ,458,331.66,20579,2.85,18.03,6.8,14.84,9000.0,92.0,325.6,0.062,0.12,0.818,2.0,8.7,4.35,86.95
Panama ,LATIN AMER. & CARIB    ,78200,3.18,3191319,-0.91,21.74,5.36,20.47,6300.0,92.6,137.9,0.068,0.156,0.776,2.0,7.36,1.98,90.66
Papua New Guinea ,OCEANIA                            ,462840,1.11,5670544,0.0,29.36,7.25,51.45,2200.0,64.6,10.9,0.353,0.381,0.266,2.0,0.46,1.44,98.1
Paraguay ,LATIN AMER. & CARIB    ,406750,0.0,6506464,-0.08,29.1,4.49,25.63,4700.0,94.0,49.2,0.224,0.207,0.569,2.0,7.6,0.23,92.17
Peru ,LATIN AMER. & CARIB    ,1285220,0.19,28302603,-1.05,20.48,6.23,31.94,5100.0,90.9,79.5,0.08,0.27,0.65,1.5,2.89,0.4,96.71
Philippines ,ASIA (EX. NEAR EAST)         ,300000,12.1,89468677,-1.5,24.89,5.41,23.51,4600.0,92.6,38.4,0.144,0.326,0.53,2.0,18.95,16.77,64.28
Poland ,EASTERN EUROPE                     ,312685,0.16,38536869,-0.49,9.85,9.89,8.51,11100.0,99.8,306.3,0.05,0.311,0.64,3.0,45.91,1.12,52.97
Portugal ,WESTERN EUROPE                     ,92391,1.94,10605870,3.57,10.72,10.5,5.05,18000.0,93.3,399.2,0.053,0.274,0.673,3.0,21.75,7.81,70.44
Puerto Rico ,LATIN AMER. & CARIB    ,13790,3.63,3927188,-1.46,12.77,7.65,8.24,16800.0,94.1,283.1,0.01,0.45,0.54,2.0,3.95,5.52,90.53
