,Migrant remittance outflows (US$ million),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
68,Gabon,,,,,,,,,69.973809,141.0,143.52063722,83.5751618,78.817733672,92.1362617,88.95619,103.89034715000001,165.15504819999998,146.6636911,153.6115591,128.2601033,147.3056056,117.8358044,145.4001809,196.8846941,156.161365,99.226998,113.292395,104.15657,89.190341,84.706958,77.579832,95.900828,96.449265,115.67102240000001,110.298458,185.59414694,,,,,,,,,,,
69,"Gambia, The",,,,,,,,,2.5362636600000004,2.63183567,,,1.7208921499999998,1.29236445,,,,,,,,,,,,,,,,,,,,0.52610349,0.52214307,0.7429458638,0.9467063473,14.640731871,3.1853235460000002,8.412067919,58.119088199,36.56288209,47.589899509999995,,,20.2885735,18.757991
70,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3,10.6,46.5,25.0889668,24.2286785,26.1403508,29.3179429,25.8960135,27.10735243,26.74126759,31.699143189999997,50.97989957,33.60906911,55.132165640000004,76.80046359,86.73244305,87.71448775,86.13111008,95.862424,100.4924035
71,Germany,,2237.0,2726.0,3687.0,4020.0,4094.0,4171.0,4260.0,5190.0,5720.0,5826.0,4794.0,4481.0,4291.0,4042.0,3601.0,4632.0,5534.0,5872.0,5485.0,6854.0,6895.0,8586.0,8513.0,9279.0,11356.0,11029.0,9885.0,9503.0,10520.0,9039.0,9445.0,10403.0,11886.0,13003.0,12707.9028,12697.369924,14084.230454,15231.564514,15322.978953,14682.909208,16116.359753,15587.632315,19948.853233,21280.305306,19170.05696,20680.751616
72,Ghana,,,,,,,,,,15.68196,9.4,9.9,6.2,12.5,13.9,10.9,3.6,3.2,3.3,3.5,3.9,4.6,4.0,4.0,4.7,4.7994,5.0,5.4,5.6,5.9,6.089512900000001,6.3992,,,,,,,,,,,7.99,4.84,8.94203167,2607.106304,
73,Greece,,,,,,,45.0,55.0,55.0,59.0,59.0,65.0,64.0,77.0,58.0,45.0,60.0,77.0,95.0,118.0,122.0,118.0,173.0,250.0,222.0,300.0,319.0,342.0,,631.0,546.0,536.0,412.0,380.0,497.0,902.4384327,981.9394861,1459.7586675999999,1911.7192477,1842.9562586,1932.2723236,1940.5117708,1437.9012549000001,1291.1254356,1424.0027817999999,974.84224,718.23928
74,Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Grenada,,,,,,,,,,,2.6,5.2,5.1,4.3,,,6.8888889,7.2962963,7.518518510000001,0.11111111,1.285185226,1.029629622,1.3962963190000002,1.3962963190000002,1.3962963190000002,1.4703703259999998,,2.459259222,2.674074092,2.85925924,3.2962963,3.2518518,3.2518518,3.2518518,3.2518518,1.422548148,1.476888889,1.59504,1.7958562960000002,1.496148148,1.511708148,1.5544096299999999,1.6001092590000001,1.6651463,,,
76,Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Guatemala,,,,,,,,8.0,7.2,8.1,11.4,7.1,3.2,3.2,7.2,6.0,6.0,7.5,5.5,9.3,13.5,19.2,19.7,8.6,10.6,7.8,12.7,20.5,33.3,26.9,55.6,32.488094,81.9229575,86.086,33.7,42.1,45.5,16.9,26.058251358999996,21.9767,20.762364,26.7892,27.9052,27.63729,26.71746,24.8793,26.3
78,Guinea,,,,,,,,,,,,,,,,,11.75,11.72,19.73,18.33,20.4,20.94,21.57,19.92,22.24,10.43,11.261,14.4,22.93,17.92762,26.910849300000002,36.8330456,17.81,46.376410899999996,47.95,59.86,51.6,38.96,55.51,44.87,40.98,38.81,50.72,80.56,,25.6995,33.870676
79,Guinea-Bissau,,,,,,,,,,,,,18.6,12.6,5.5,4.0,11.5,11.6,9.9,15.75,11.62,20.01,14.96,14.82,13.24,3.41,,,,,,,5.41616048,6.48829652,5.373995165,5.3519819881999995,4.3221318558,4.3300271035,16.750187023,20.1901710365,19.6501190237,29.957650226,24.964980512,34.54517591,,38.406676,
